supplier_id,supplier_name,country,category,annual_spend_usd,on_time_delivery_rate,quality_defect_ppm,financial_health_score,days_payable_outstanding,single_source_flag,geopolitical_risk_index,past_disruptions_count,avg_lead_time_days,price_volatility_pct,esg_score,years_relationship,risk_score,risk_category
SUP-0001,Meridian Components,Brazil,Semiconductors,61492,84.5,453.8,75.3,21.0,0,52.1,1,35.9,0.5,43.3,7.7,46.4,High
SUP-0002,Stellar Group,Brazil,Chemicals,23527,85.7,1226.5,87.7,42.9,0,32.7,2,29.6,0.1,46.5,6.9,52.4,High
SUP-0003,Zenith Manufacturing,India,Chemicals,52115,87.7,325.9,72.8,49.2,0,14.3,0,41.1,0.7,63.1,1.3,29.2,Medium
SUP-0004,Continental Group,Vietnam,Plastics,23045,87.0,265.1,66.9,53.4,0,31.3,0,22.3,4.4,31.9,0.2,40.5,Medium
SUP-0005,Global Materials,India,Raw Metals,92407,81.6,596.6,58.8,14.8,0,38.8,1,42.2,17.5,84.4,3.8,50.3,High
SUP-0006,Summit Logistics,Brazil,Plastics,9956,83.5,442.2,100.0,26.6,0,35.7,1,25.5,19.1,50.4,8.5,34.6,Medium
SUP-0007,Nova Industries,India,Plastics,5000,95.0,615.5,88.2,34.4,1,34.1,3,26.2,4.5,53.4,10.2,47.6,High
SUP-0008,Continental Manufacturing,Turkey,Raw Metals,18194,93.5,123.6,61.8,53.1,0,34.5,2,51.1,5.5,40.7,0.2,38.0,Medium
SUP-0009,Global Traders,Bangladesh,Semiconductors,20810,88.1,47.0,71.0,51.8,0,47.9,2,18.0,8.0,84.9,6.0,37.2,Medium
SUP-0010,Precision Group,South Africa,Electronics,19977,90.8,61.9,67.0,34.9,0,44.1,0,24.5,8.3,69.7,2.9,27.5,Medium
SUP-0011,Prime Components,South Africa,Logistics Services,10635,82.2,775.9,58.6,37.9,0,48.4,2,25.1,18.2,56.3,13.8,58.9,High
SUP-0012,Summit Industries,India,Semiconductors,22838,100.0,582.1,83.4,40.5,1,36.8,3,56.8,2.9,8.2,30.0,37.9,Medium
SUP-0013,Apex Materials,USA,Textiles,178548,76.7,136.9,64.5,62.3,0,22.7,1,10.2,7.1,73.0,23.1,34.6,Medium
SUP-0014,Global Supply Co.,USA,Chemicals,54863,89.7,258.0,36.9,44.3,1,6.4,4,37.2,21.1,68.5,19.9,64.2,Critical
SUP-0015,Zenith Logistics,Philippines,Packaging,219621,100.0,114.3,58.2,49.3,1,23.0,2,30.9,16.8,39.4,8.1,46.9,High
SUP-0016,Continental Supply Co.,Turkey,Raw Metals,9888,100.0,497.2,71.1,50.1,1,46.1,3,87.8,17.7,39.3,0.6,60.2,Critical
SUP-0017,Nova Materials,Mexico,Textiles,52647,93.5,118.6,27.4,34.2,1,34.2,2,55.0,1.2,46.7,0.9,59.1,High
SUP-0018,Nova Technologies,Brazil,Packaging,119787,85.1,167.7,57.6,48.1,1,22.6,0,24.9,1.6,63.3,4.4,42.6,High
SUP-0019,Nova Supply Co.,Brazil,Raw Metals,36168,90.9,51.8,53.1,38.2,0,28.5,0,40.5,3.4,70.8,3.7,26.9,Medium
SUP-0020,Stellar Manufacturing,China,Plastics,37707,91.4,140.8,66.2,92.0,1,37.1,0,36.9,8.2,61.3,16.9,34.0,Medium
SUP-0021,Pioneer Manufacturing,Bangladesh,Plastics,9391,92.3,515.5,59.6,67.7,0,51.6,0,16.8,3.8,47.4,0.2,49.6,High
SUP-0022,Continental Logistics,Poland,Logistics Services,112820,100.0,205.6,44.1,71.5,1,19.3,2,22.4,6.7,89.0,0.8,40.3,Medium
SUP-0023,Fortress Supply Co.,Taiwan,Plastics,36550,91.8,81.8,86.4,67.9,0,46.9,1,3.0,2.8,58.6,0.6,31.7,Medium
